reducto_score,azure_score,textract_score,gcloud_score,unstructured_score,gpt4o_score,chunkr_score,pdf_path,language
0.9836907765221974,0.2265437825520833,0.217865740132128,0.5714285714285714,,0.2097966386457529,0.1690821256038647,3715_png.rf.647d5a8e016be4e75db58c3c5135c13f.pdf,en
0.9084020268303268,0.9907858416963076,0.2708571726067602,0.0040650406504065,0.2241114056299603,0.1736111111111111,0.2414351834191216,23217_png.rf.b86334913a7b811870d3039d3a2e20ae.pdf,en
0.989745299021403,0.3214285714285714,0.989745299021403,0.3214285714285714,0.4583333333333333,0.2957175970077514,0.3333333333333333,24576_png.rf.051e2e29e036a91982d38dac48b6d01b.pdf,en
0.8537878556685015,0.8787878787878788,0.3701852162679036,0.3379629135131836,0.2853535449866092,0.3914815266927083,0.3333333333333333,4062_png.rf.e238c5d6effbca2359b31bb04d584153.pdf,en
1.0,0.943209895381221,0.5685185326470269,0.5023515489366319,0.425911232277199,0.5537037319607205,0.2314814814814814,23559_png.rf.e8635e00915273e5784542b9a8036e3c.pdf,en
0.9942028543223506,0.487149777619735,0.7438192616338315,0.2840755296790082,0.4268832828687585,0.6266666578209918,0.0939958572387695,13869_png.rf.7b80ac86eba834432b6fb00811a7ed65.pdf,en
0.9382716284857856,0.545482828159525,,0.242483647664388,,0.5624327765570747,,33734_png.rf.ffa451319d4e8b3f7f0f557efffc4046.pdf,en
1.0,0.6754512786865234,0.8951431274414062,0.3069650786263602,0.3167250951131184,0.4603147506713867,0.2916666666666667,817_png.rf.d543d284b9e2a272ca38aa64a3adc94f.pdf,en
0.8285714285714286,0.3857142857142857,0.3714285714285714,0.6317176818847656,0.4428571428571428,0.4285714285714285,0.4571428571428571,16983_png.rf.ed5224591f15cb3d4ba7379d5986e992.pdf,en
1.0,0.7876983925148293,0.6278845893012153,0.5998495192754836,0.6127946217854817,0.6441102910924841,0.5710414099314857,991_png.rf.fff53042ce709c0088acbd8e5e747106.pdf,en
1.0,0.5816035800509982,0.6186406170880353,0.4114634195963542,0.5288888719346788,0.7222222222222222,0.6666666666666666,22207_png.rf.d5a63c7b464e9e1b531d494607ad5ed4.pdf,en
0.9934640772202435,0.7136438033160042,0.9647058599135456,0.3978205288157743,0.2645112205954159,0.519852918737075,0.2352941176470588,19128_png.rf.cce6f493f709aebf22491ff0de08579f.pdf,en
